Account,Date,daily_pnl,total_trades,closed_trades,wins,avg_trade_size_usd,win_rate,Broad_Sentiment,size_segment
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-07,227.320653,7,2,2,1395.532857142857,1.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-09,0.0,3,0,0,1658.5133333333333,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-12,0.0,13,0,0,782.6861538461538,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-13,0.0,3,0,0,1658.2700000000002,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-16,0.0,3,0,0,1280.0233333333333,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-20,-74.818442,3,3,0,1707.1166666666668,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-21,1272.088356,72,18,7,8594.73125,0.3888888888888889,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-23,0.0,19,0,0,3896.7610526315784,0.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-24,821.949278,2,2,2,25405.949999999997,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-25,0.0,2,0,0,12503.574999999999,0.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-05-26,773.4582,9,2,2,5640.383333333334,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-07,0.0,14,0,0,77.5807142857143,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-09,0.0,12,0,0,117.52166666666666,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-11,4269.550668,75,8,8,1046.24,1.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-12,0.0,37,0,0,41.1072972972973,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-13,6634.160155,78,19,19,1699.554487179487,1.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-14,10258.592609,15,15,15,2791.98,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-15,1285.5244400000001,40,9,9,3156.3154999999997,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-16,0.0,11,0,0,2294.0981818181817,0.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-17,9330.743339,24,21,21,4828.689166666667,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-18,282.57636,18,4,4,11128.698333333334,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-19,2833.6833,41,14,14,4971.736829268292,1.0,Greed,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-20,0.0,27,0,0,314.2848148148148,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-21,0.0,69,0,0,1478.9595652173912,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-22,756.876565,21,8,8,7218.764761904762,1.0,Neutral,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-23,0.0,5,0,0,358.424,0.0,Greed,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-24,0.0,10,0,0,15099.543,0.0,Neutral,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-25,4869.353105,49,11,11,2104.062857142857,1.0,Fear,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-26,0.0,41,0,0,24.288292682926826,0.0,Neutral,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-27,0.0,18,0,0,583.1594444444444,0.0,Fear,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-29,4307.587820000001,58,11,11,975.2437931034483,1.0,Fear,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-06-30,0.0,11,0,0,47.401818181818186,0.0,Neutral,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-01,3863.351096,51,17,17,5205.286274509804,1.0,Neutral,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-02,2421.253116,18,13,13,1852.6372222222224,1.0,Neutral,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,0.0,8,0,0,9465.0725,0.0,Neutral,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-04,0.0,11,0,0,15958.708181818183,0.0,Fear,High Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-05,0.0,12,0,0,165.92916666666667,0.0,Fear,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-06,108.87217799999999,24,7,7,103.75708333333334,1.0,Fear,Low Size
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-07,61.428942,10,10,10,49.875,1.0,Fear,Low Size
